DG Entity ID,As Of Date,Entity Change Log Comment,Legal Entity Code (#),Entity Name,Sanitized Legal Entity Code,Sanitized Entity Name,Entity Type,DUNS Number,Effective Date,Termination Date,Filing End Date,Fiscal Year End,Country Of Incorporation,State Of Incorporation,Date Of Incorporation,Fund Status,Is DisplayOrgChart,Local Currency,Functional Currency,Reporting Currency,Entity Comment,Line Of Business,Street Address,City,County,Postal Code,Jurisdiction,State / Province / Locale,Region,Industry Level 1,Industry Level 2,Industry Level 3,Complexity,Descriptor,GloBE Type,Non-Material Constituent Entity,Investment Entity,Stateless,Flow-Through Entity,Parent Entity Type,Client Purview,External Organization,Restrict Third Parties
GB001,2024-12-31,Ultimate parent company creation,GBC001,The GlobalBeverage Company,GBC001,The GlobalBeverage Company,Corporation,400000001,1886-05-08,,,12-31,USA,Delaware,1886-05-08,Active,TRUE,USD,USD,USD,Global beverage concentrate and syrup manufacturer - Coca-Cola style,Beverage Concentrates,One GlobalBeverage Plaza,Atlanta,Fulton,30313,USA,Georgia,North America,Beverages,Non-Alcoholic Beverages,Soft Drink Concentrates,Complex,Holding Company,Ultimate Parent Entity,FALSE,FALSE,FALSE,FALSE,Ultimate Parent Entity,In Scope,FALSE,FALSE
GB002,2024-12-31,North America operating unit,GBNA001,GlobalBeverage North America Inc.,GBNA001,GlobalBeverage North America Inc,Corporation,400000002,1920-06-01,,,12-31,USA,Delaware,1920-06-01,Active,TRUE,USD,USD,USD,North American concentrate and finished products operations,Regional Operations,One GlobalBeverage Plaza,Atlanta,Fulton,30313,USA,Georgia,North America,Beverages,Regional Operations,North America Operations,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB003,2024-12-31,Latin America operating unit,GBLA001,GlobalBeverage Latin America Inc.,GBLA001,GlobalBeverage Latin America Inc,Corporation,400000003,1942-03-15,,,12-31,USA,Delaware,1942-03-15,Active,TRUE,USD,USD,USD,Latin American concentrate operations,Regional Operations,One GlobalBeverage Plaza,Atlanta,Fulton,30313,USA,Georgia,North America,Beverages,Regional Operations,Latin America Operations,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB004,2024-12-31,Europe Middle East Africa unit,GBEMEA001,GlobalBeverage EMEA Ltd,GBEMEA001,GlobalBeverage EMEA Ltd,Limited Company,400000004,1945-09-01,,,12-31,United Kingdom,England,1945-09-01,Active,TRUE,GBP,USD,USD,Europe Middle East and Africa operations,Regional Operations,1 Queen Caroline Street,London,,W6 9HQ,United Kingdom,England,Europe,Beverages,Regional Operations,EMEA Operations,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB005,2024-12-31,Asia Pacific operating unit,GBAP001,GlobalBeverage Asia Pacific Ltd,GBAP001,GlobalBeverage Asia Pacific Ltd,Limited Company,400000005,1965-04-01,,,12-31,Hong Kong,,1965-04-01,Active,TRUE,HKD,USD,USD,Asia Pacific concentrate operations,Regional Operations,28/F One Island East,Hong Kong,,999077,Hong Kong,Hong Kong,Asia Pacific,Beverages,Regional Operations,Asia Pacific Operations,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB006,2024-12-31,Concentrate manufacturing,GBCON001,GlobalBeverage Concentrates LLC,GBCON001,GlobalBeverage Concentrates LLC,LLC,400000006,1920-01-01,,,12-31,USA,Delaware,1920-01-01,Active,TRUE,USD,USD,USD,Global concentrate and syrup production,Concentrate Manufacturing,1000 Industry Drive,Atlanta,Fulton,30309,USA,Georgia,North America,Manufacturing,Beverage Manufacturing,Concentrate Production,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB007,2024-12-31,North America bottling operations,GBNAB001,GlobalBeverage North America Bottling LLC,GBNAB001,GlobalBeverage North America Bottling LLC,LLC,400000007,1899-07-01,,,12-31,USA,Delaware,1899-07-01,Active,TRUE,USD,USD,USD,Company-owned bottling operations in North America,Bottling Operations,5200 Northpoint Parkway,Alpharetta,Fulton,30022,USA,Georgia,North America,Manufacturing,Beverage Manufacturing,Bottling & Distribution,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB008,2024-12-31,European bottling operations,GBEB001,GlobalBeverage European Bottling B.V.,GBEB001,GlobalBeverage European Bottling BV,B.V.,400000008,1968-01-15,,,12-31,Netherlands,,1968-01-15,Active,TRUE,EUR,USD,USD,Company-owned European bottling operations,Bottling Operations,Stationsplein 1,Amsterdam,,1012 AB,Netherlands,North Holland,Europe,Manufacturing,Beverage Manufacturing,European Bottling,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB009,2024-12-31,Brand marketing company,GBBM001,GlobalBeverage Brand Marketing Inc.,GBBM001,GlobalBeverage Brand Marketing Inc,Corporation,400000009,1985-11-01,,,12-31,USA,Delaware,1985-11-01,Active,TRUE,USD,USD,USD,Global brand management and marketing operations,Brand Marketing,One GlobalBeverage Plaza,Atlanta,Fulton,30313,USA,Georgia,North America,Marketing,Brand Management,Global Marketing,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB010,2024-12-31,Sports and energy drinks,GBSE001,GlobalBeverage Sports & Energy Inc.,GBSE001,GlobalBeverage Sports & Energy Inc,Corporation,400000010,2001-08-01,,,12-31,USA,Delaware,2001-08-01,Active,TRUE,USD,USD,USD,Sports drinks and energy beverage brands,Sports & Energy Drinks,One GlobalBeverage Plaza,Atlanta,Fulton,30313,USA,Georgia,North America,Beverages,Sports Drinks,Energy Beverages,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB011,2024-12-31,Water and enhanced beverages,GBWE001,GlobalBeverage Water & Enhanced LLC,GBWE001,GlobalBeverage Water & Enhanced LLC,LLC,400000011,1999-06-01,,,12-31,USA,Delaware,1999-06-01,Active,TRUE,USD,USD,USD,Bottled water and enhanced water products,Water & Enhanced Beverages,One GlobalBeverage Plaza,Atlanta,Fulton,30313,USA,Georgia,North America,Beverages,Bottled Water,Enhanced Water,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB012,2024-12-31,Coffee and tea beverages,GBCT001,GlobalBeverage Coffee & Tea Company,GBCT001,GlobalBeverage Coffee & Tea Company,Corporation,400000012,2012-04-01,,,12-31,USA,Delaware,2012-04-01,Active,TRUE,USD,USD,USD,Ready-to-drink coffee and tea products,Coffee & Tea,One GlobalBeverage Plaza,Atlanta,Fulton,30313,USA,Georgia,North America,Beverages,RTD Coffee,RTD Tea,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB013,2024-12-31,Juice and smoothies,GBJS001,GlobalBeverage Juice & Smoothies Inc.,GBJS001,GlobalBeverage Juice & Smoothies Inc,Corporation,400000013,1960-03-01,,,12-31,USA,Delaware,1960-03-01,Active,TRUE,USD,USD,USD,Fruit juices and smoothie products,Juice & Smoothies,One GlobalBeverage Plaza,Atlanta,Fulton,30313,USA,Georgia,North America,Beverages,Fruit Juices,Smoothies,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB014,2024-12-31,Mexican operations,GBMX001,GlobalBeverage Mexico S.A. de C.V.,GBMX001,GlobalBeverage Mexico SA de CV,S.A. de C.V.,400000014,1926-12-01,,,12-31,Mexico,,1926-12-01,Active,TRUE,MXN,USD,USD,Mexican bottling and distribution operations,Mexican Operations,Av. Insurgentes Sur 1424,Mexico City,,03940,Mexico,Mexico City,North America,Beverages,Regional Operations,Mexico Operations,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB015,2024-12-31,Brazilian operations,GBBR001,GlobalBeverage Brasil Ltda.,GBBR001,GlobalBeverage Brasil Ltda,Ltda.,400000015,1939-09-01,,,12-31,Brazil,,1939-09-01,Active,TRUE,BRL,USD,USD,Brazilian concentrate and bottling operations,Brazilian Operations,Rua Alexandre Dumas 2051,São Paulo,,04717-004,Brazil,São Paulo,South America,Beverages,Regional Operations,Brazil Operations,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB016,2024-12-31,European operations,GBEU001,GlobalBeverage Europe GmbH,GBEU001,GlobalBeverage Europe GmbH,GmbH,400000016,1929-05-01,,,12-31,Germany,Hesse,1929-05-01,Active,TRUE,EUR,USD,USD,German and Central European operations,European Operations,Stralauer Allee 4,Berlin,,10245,Germany,Berlin,Europe,Beverages,Regional Operations,Central Europe,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB017,2024-12-31,Japanese operations,GBJP001,GlobalBeverage Japan K.K.,GBJP001,GlobalBeverage Japan KK,Corporation,400000017,1957-07-01,,,12-31,Japan,,1957-07-01,Active,TRUE,JPY,USD,USD,Japanese bottling and vending operations,Japanese Operations,5-1-1 Shibuya,Tokyo,,150-0002,Japan,Tokyo,Asia Pacific,Beverages,Regional Operations,Japan Operations,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB018,2024-12-31,Chinese operations,GBCN001,GlobalBeverage China Limited,GBCN001,GlobalBeverage China Limited,Limited Company,400000018,1979-12-01,,,12-31,China,,1979-12-01,Active,TRUE,CNY,USD,USD,Chinese bottling and distribution operations,Chinese Operations,3000 Yinhai Road,Shanghai,,201206,China,Shanghai,Asia Pacific,Beverages,Regional Operations,China Operations,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB019,2024-12-31,Indian operations,GBIN001,GlobalBeverage India Private Limited,GBIN001,GlobalBeverage India Private Limited,Private Limited Company,400000019,1993-04-01,,,12-31,India,,1993-04-01,Active,TRUE,INR,USD,USD,Indian bottling and concentrate operations,Indian Operations,GlobalBeverage Plaza,Gurgaon,,122001,India,Haryana,Asia Pacific,Beverages,Regional Operations,India Operations,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB020,2024-12-31,Bottling investments,GBII001,GlobalBeverage Bottling Investments Inc.,GBII001,GlobalBeverage Bottling Investments Inc,Corporation,400000020,1980-01-01,,,12-31,USA,Delaware,1980-01-01,Active,TRUE,USD,USD,USD,Strategic bottling partnership investments,Bottling Investments,One GlobalBeverage Plaza,Atlanta,Fulton,30313,USA,Georgia,North America,Investment,Strategic Investments,Bottling Partnerships,Complex,Investment Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB021,2024-12-31,Supply chain services,GBSC001,GlobalBeverage Supply Chain Services LLC,GBSC001,GlobalBeverage Supply Chain Services LLC,LLC,400000021,2005-02-01,,,12-31,USA,Delaware,2005-02-01,Active,TRUE,USD,USD,USD,Global supply chain and procurement services,Supply Chain Services,6620 West Broad Street,Richmond,Henrico,23230,USA,Virginia,North America,Logistics,Supply Chain,Procurement Services,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB022,2024-12-31,Innovation and ventures,GBIV001,GlobalBeverage Innovation & Ventures LLC,GBIV001,GlobalBeverage Innovation & Ventures LLC,LLC,400000022,2007-09-01,,,12-31,USA,Delaware,2007-09-01,Active,TRUE,USD,USD,USD,Innovation lab and venture capital investments,Innovation & Ventures,675 Ponce de Leon Avenue,Atlanta,Fulton,30308,USA,Georgia,North America,Research,Innovation,Venture Capital,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB023,2024-12-31,Digital commerce platform,GBDC001,GlobalBeverage Digital Commerce Inc.,GBDC001,GlobalBeverage Digital Commerce Inc,Corporation,400000023,2018-01-01,,,12-31,USA,Delaware,2018-01-01,Active,TRUE,USD,USD,USD,E-commerce and digital marketing platform,Digital Commerce,One GlobalBeverage Plaza,Atlanta,Fulton,30313,USA,Georgia,North America,Technology,E-commerce,Digital Marketing,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB024,2024-12-31,Ingredient sourcing,GBIS001,GlobalBeverage Ingredient Sourcing Corp,GBIS001,GlobalBeverage Ingredient Sourcing Corp,Corporation,400000024,1950-06-01,,,12-31,USA,Delaware,1950-06-01,Active,TRUE,USD,USD,USD,Global ingredient sourcing and supplier management,Ingredient Sourcing,One GlobalBeverage Plaza,Atlanta,Fulton,30313,USA,Georgia,North America,Sourcing,Ingredient Procurement,Supplier Management,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB025,2024-12-31,Shared services center,GBSS001,GlobalBeverage Shared Services S.A.,GBSS001,GlobalBeverage Shared Services SA,S.A.,400000025,2009-05-01,,,12-31,Argentina,,2009-05-01,Active,TRUE,ARS,USD,USD,Global shared services center,Shared Services,Av. del Libertador 7208,Buenos Aires,,C1429BMJ,Argentina,Buenos Aires,South America,Business Services,Shared Services,Back Office Operations,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB026,2024-12-31,Equipment manufacturing,GBEM001,GlobalBeverage Equipment Manufacturing Ltd,GBEM001,GlobalBeverage Equipment Manufacturing Ltd,Limited Company,400000026,1960-08-01,,,12-31,Ireland,,1960-08-01,Active,TRUE,EUR,USD,USD,Beverage equipment and machinery manufacturing,Equipment Manufacturing,Ballsbridge,Dublin,,D04 V972,Ireland,Dublin,Europe,Manufacturing,Equipment Manufacturing,Beverage Equipment,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB027,2024-12-31,Fountain syrup operations,GBFS001,GlobalBeverage Fountain Systems LLC,GBFS001,GlobalBeverage Fountain Systems LLC,LLC,400000027,1955-03-01,,,12-31,USA,Delaware,1955-03-01,Active,TRUE,USD,USD,USD,Fountain syrup and equipment for restaurants,Fountain Systems,One GlobalBeverage Plaza,Atlanta,Fulton,30313,USA,Georgia,North America,Beverages,Fountain Systems,Foodservice,Complex,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB028,2024-12-31,Trademark holding company,GBIP001,GlobalBeverage IP Holdings S.à r.l.,GBIP001,GlobalBeverage IP Holdings Sarl,S.à r.l.,400000028,2000-01-01,,,12-31,Luxembourg,,2000-01-01,Active,TRUE,EUR,USD,USD,Global trademark and IP holding company,IP Holdings,46A Avenue John F. Kennedy,Luxembourg,,1855,Luxembourg,Luxembourg,Europe,Intellectual Property,Trademark Holdings,Brand IP,Complex,Holding Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB029,2024-12-31,African operations JV,GBAF001,GlobalBeverage Africa Holdings Ltd,GBAF001,GlobalBeverage Africa Holdings Ltd,Limited Company,400000029,2014-11-01,,,12-31,South Africa,,2014-11-01,Active,TRUE,ZAR,USD,USD,African operations joint venture,African Operations,1 Thibault Square,Cape Town,,8001,South Africa,Western Cape,Africa,Beverages,Regional Operations,Africa Operations,Medium,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE
GB030,2024-12-31,Sustainability initiatives,GBSI001,GlobalBeverage Sustainability Inc.,GBSI001,GlobalBeverage Sustainability Inc,Corporation,400000030,2015-06-01,,,12-31,USA,Delaware,2015-06-01,Active,TRUE,USD,USD,USD,Global sustainability and environmental programs,Sustainability,One GlobalBeverage Plaza,Atlanta,Fulton,30313,USA,Georgia,North America,Sustainability,Environmental Programs,Corporate Responsibility,Low,Operating Company,Standard Entity,FALSE,FALSE,FALSE,FALSE,Subsidiary,In Scope,FALSE,FALSE